esp,ing
encenderse,sindirii
encendido,sindiska
llama,sindi
naríz,singa
cabecear,singui
faja delgada,sinta
sentirse,sintirii
joven,sipas
apretado,sipi
ahorcar,sipii
ahorcarse,sipirii
coser,sirai
coserse,sirarii
acostarle,sirichii
estar acostado,sirikui
estar acostado,siriraiai
acostarse,siririi
ciruela silvestre,siruila
ladrón,sisai
robarse,sisarii
motilón silvestre,sisinda
parásito blanco,sisu
despiojarse,sisurii
botar,sitai
zumbarse,sitarii
abandonado,sitaska
mutilado,suchu
pasado mañana,sug kaia
diferente,sug rigcha
otro,sugka
uno solo,suglla
seis,sugta
sesenta,sugta chunga
seiscientos,sugta patsa
esperar,suiai
esperar,suiarii
hallar,suirtiai
abortar,sullui
abortar(se),sullurii
bien,sumaglla
vacío,sumbu
sumamente largo,sunichu
sacarse,surkurii
jadear,suspirachii
alargado,susuka
crecer,susukaiai
cedazo,susunga
cernirse,susurii
nombre,suti
nombrar,sutichii
nombrarse,sutichirii
cierto,sutipa
con goteras,sutu
gota,sutu
gotear,sutui
hacerse goteras,sutuiai
caer gotas,suturii
llovizna,shabima
rociar,shabimachii
rociar,shabimai
lloviznar,shabimarii
amortiguación,shabujui
amortiguarse,shabujurii
jadeante,shachananai
sorprender,shachii
neblina,shachima
inservible,shachina
perro pequeño,shachinan
sorprender,shachirii
rebalsarse,shamaiai
curí,shanita
cabecera,shauna
mojado,shiba
mojarse,shibarii
canilla,shibka
ratoncito pequeño,shiguina ukucha
podar,shuchui
gorrión,shulugchi
hermosito,shuma
maíz fresco,shuna
pájaro pequeño,shungu
¡Pobre niñito!,Shushunajim
quedar aplastado,tablaiai
¡Siéntese!,Tachii
todo empapado,tagsa
empapado,Tagsami karkani
jabonar,tagsai
lavarse,tagsarii
padre,taita
padrastro,taita ninga
abuelo,taita siñur
Dios mío,Taitiku
molusco,taka kallu
golpear,takachii
dar golpes,takai
tropezarse,takarii
majado,takaska
hacer que,takichii
cantar,takii
vaciar,tallichii
echar,tallii
choza,tambu
lluvia,tamia
llover,tamiai
lloviznar,tamiarii
pan,tanda
juntar,tandachii
reunirse,tandarii
empujar,tangai
empujarse,tangarii
probarse,tantiarii
bastón,tanua
afianzarse,tanuai
agüero,tapia
preguntón,tapu siki
interrogar,tapuchii
preguntar,tapui
averiguar,tapurii
encontrar,tarii
encontrarse con,taririi
corte,tarka
cortado,tarkiadu
sembrar,tarpui
palito,tarpunga (kaspi)
estar sembrado,tarpuraiai
sembrarse,tarpurii
árbol pequeño,taruka sacha
cazar venado,tarukiai
rosca,tasin
enroscado,tasin tasin
enroscar,tasinai
estar enroscado,tasinaraiai
¡Que asco!,Tatai
bastón,tauna
afianzarse,taunai
afianzarse,taunarii
bordón,tawina
afianzarse,tawinai
afianzarse,tawinarii
hay,tia
nacer,tiagsamui
estar sentado,tiakui
asiento,tiaridiru
sentarse,tiarii
pelar,tibkai
pelado,tibkariska
pellizcar,tibsii
pellizcarse,tibsirii
salpicar,tibunsachii
salpicar,tibunsai
salpicarse,tibunsarii
florear,tibutui
voltear,tigrachii
regresar,tigrai
voltearse,tigrarii
bejuco,tigri waska
¡Que...!,tilla
hervir,timbuchii
hervir,timbui
fermentado,timbuska
hacer algo,timplarii
ya,timpu
dar brincos,tingirii
algo,tinlla
quebrada,Tinui
teñir,tiñii
hacer rodar,tunichii
derrumbado,tunichiska
rodarse,tunirii
hacerse tonto,tuntiadu tukui
mirar sorprendido,tuntiadusina kawai
maravillarse,tuntiarii
topar,tupai
apegarse,tuparii
medida,tupu
medida,tupu chaglla
medir,tupui
tela,tupulli
medirse,tupurii
hermano,turi
hermanastro,turi ninga
duende,turmama
barro,turu
agua barrosa,turu iaku
preparar lodo,turuiachii
embarrarse,turuiai
seco,tusta
desaguar,tusta piai
secar,tustai
secarse,tustarii
seco,tustaska
oscuro,tuta
noche,tuta
maravillarse,tuta munu
pájaro nocturno,tuta pisku
cegar,tutaiachii
oscurecer,tutaiai
¡Buenas noches!,Tutaiapuangi
tuétano,tutañu
madrugada,tutapita
oscuro,tutuku
Tu,Tutututu
árbol sindayo,tsajaku
¡Caramba!,Tsajuañi
Tatai,Tsatsai
planta pequeña,ubchichi
uchuva,ubillas
obligar,ubligachii
obligar,ubligai
obligarse,ubligarii
chupar,ubsii
chupar,ubsirii
quejarse,uchnai
quejarse,uchnarii
ceniza,uchpa
ají,uchu
hormiga pequeña,uchu añangu
pequeño,uchulla
cocina,uchulla uku
empequeñecer,uchullaiachii
volverse bajo,uchullaiai
bajado,uchullaiaska
pequeñito,uchullatum
planta pequeña,ugchichi
hacer empollar,ugllachii
abrazar,ugllai
abrazarse mutuamente,ugllanakui
abrazarse,ugllarii
cubierto,ugllariska
abrazado,ugllaska
hierba,ugsa
enyerbarse,ugsaiai
enyerbado,ugsaiaska
enyerbado,ugsalla
hierba alta,ugsuku
atento,uia
tocar,uiachii
ser criticado,uiachii tukui
oír,uiai
premio,uiansa
dar premio,uiansa karai
ruido,uiari
admirar,ujnai
admirarse de,ujnarii
tos,ujui
oca,uka
suelo adentro,uku
ratón,ukucha
ocuparse,ukuparii
dentro de,ukupi
pene,ullu
cabeza,uma
despeinado,uma chirapa
humillar,uma kumurichii
humillarse,uma kumurii
persona mareada,uma muiui
marearse,uma muiurii
tacaño,uma nana
calavera,uma tullu
recortar,umutiachii
corto,umutu
palo corto,umutu kaspi
tiempo largo,unai
distraer,unaiachii
demorar,unaiai
demorado,unaiaska
siempre enfermo,ungu siki
enfermo,ungug
embarazada,wigsawa ungug
enfermedad,ungui
enfermarse,ungui apii
criticón,unadur
burlarse de,unai
estar despreciado,unai tukui
burlarse,unarii
tonto,upa
sordo,upa rinri
atontar,upaiachii
atontarse,upaiai
tranquila,upalla
callar,upallachii
callarse,upallai
callarse,upallarii
beber,upiai
borrachón,upiangichu
¡Salud!,Upiasu
ofrenda,uprinda
viento,uprinda waira
hacia abajo,urai
bajar,uraikui
árbol,uraku
bajo,urapi
chistosa,urdimal
cuento chistoso,urdimal parlu
papagayo,uritu
gancho,urkita
eco,urku
derribar,urmachii
caer,urmai
caerse,urmarii
piojo,usa
escampar,usiarii
¡Persíguelo!,Uska uska
azuzar,uskachii
abeja,ushini
espantar,ushtachii
rápidamente,utka
hoyo,utku
agujerear,utkuchii
desbastar,utkui
perforarse,utkurii
elevar,wabajai
ablande,wabajui
elevarse,wabajarii
huevo dañado,wabka
cajón,wabli
rechazar,wabutii
ponedora,wachadura
poner huevos,wachai
tangán,wachisha
recto,wachuma
en orden,wachuspa
pobre,wagchintu
huérfano,wagchu
quedar huérfano,wagchuiai
hermano,wagki
hermanastro,wagki ninga
hacer avío,wagllai
empacado,wagllaska
destruir,wagllichii
dañar,wagllii
dañarse,wagllirii
ganado,wagra
mecer,wagtachii
pegar,wagtai
mecerse,wagtarii
barranco,waiku
viento,waira
soplar,wairai
rápidamente,wairalla
ventear,wairarii
nadar,waitai
en muchedumbre,waiunga
racimo,waiunga
traer,wajuachii
hacerse,wajuai
augurar,wajuarii
verdura silvestre,waka mullu
llorón,waka siki
conservar,wakachii
guardarse,wakachirii
llorar,wakai
pajaro guacamayo,wakamaiu
ganar,wakanai
ganar,wakanarii
oxidarse,wakarii
oxidado,wakariska
oxidado,wakaska
gargantilla,walka
ponerle collar,walkachii
ponerse collar,walkarii
puesto collar,walkaska
canalete,walmu
niño,wambra
hijastro,wambra ninga
sapo grande,wambui
cuidar,wamnai
entretenerse,wamnarii
domesticado,wamnaska
niñero,wamniru
arbolito cultivado,wamuka
¡Que bien!,Wanachu
¡Que bien!,Wanai
dejar,wanai
chirimoyo,wanamna
dejar,wanarii
llevar,wandui
llevado,wandupi
llevarse,wandurii
enredado,wangu
enredar,wanguchii
con nudos,wangudu
amarrar,wangui
encogerse,wangurii
amarrado,wanguska
llenar,wansai
llenar,wansarii
lleno,wansaska
asar,wansmii
asado,wansmiska
matar,wañuchii
matarse,wañuchirii
muerto,wañudu
fallecido,wañug
morir,wañui
muerte,wañui
epilepsia,wañui ungui
marchitarse,wañurii
fallecido,wañuska
guapo,wapu
honda,waraka
mil,waranga
ciempiés,waranga
enojarse,warbuñii
colgar,warkui
colgarse,warkurii
mujer,warmi
chundur,warmi chundur
sibta,warmi sibta
esposo,warmiiug
su esposa,warmindi
mujeriego,warmisapa
espalda,wasa
descansar recostado,wasa dirichai
atrás,wasa ladu
encorvado,wasa punta
giboso,wasa trumpa
casa,wasi
hacer riegos,wasi chiriachii
construir,wasichii
bejuco,waska
pagcharii,waska wichai
¡Le falta!,Washbi
fecundado,washbi
wachisha,washisha
escurrir,washjai
enredado,washju
enredar,washjuchii
enredarse,washjurii
enredado,washjuriska
año,wata
atar,watai
mujeriego,watajai
estar amarrado,wataraiai
amarrarse,watarii
amarrado,wataska
carnaval,wataura
rastrojo,watsiban
kuatsimba,watsimba
hermano,waugki
hermanastro,waugki ninga
bebé,wawa
apenas enmontado,wawa chaparu
meñique,wawa didu
luna nueva,wawa killa
diente,wawa kiru
placenta,wawa kukawi
matriz,wawa mama
volverse nene,wawaiai
tener hijos,wawaiug kai
huevo,wibus
hacia arriba,wichai
buche,wichi
cerrar,wichkai
encerrarse,wichkarii
cerrado,wichkaska
estómago,wigsa
embarazada,wigsawa ungug
lágrima,wiki
pegajoso,wikiiug
vicundo,wikundu
avisar,willai
delatar,willarii
torcer,wingiachii
torcerse,wingiai
trastrabillando,wingu wingu
cerveza,winja
con rabia,winjadu
volverse amargo,winjaiai
crecido,wiñaska
engordar,wiraiachii
persona gordísima,wiraiug
caña,wiru
chupar caña,wirurii
el que...,wisidur
sacar,wisii
torcido,wistu
torcerse,wistuiai
abajo,urapi
abandonado,sitaska
abandonar,sakii
abarcar,ugllachii
abarcar,kamachii
abceso,kuku chupu
abdomen,wigsa
abeja,abijun
abierto,paska
abierto,paskaska
estar abierto,paskaraiai
abigarrado,sarasa
aborrecerse,amii
abortar,sullui
abortarse,sullurii
abotonar,butunai
hacer abotonar,butunachii
abrazado,ugllaska
abrazar,ugllai
abrazarse,ugllarii
abrazarse mutuamente,ugllanakui
abrigado,kunu
abrigarse,kunui
abrigarse,rupaiai
hacerse abrigarse,kunuchirii
abrir,paskai
abrir campo,laduiachii
abrir camino,ñambichii
hacer abrir,paskachii
abrirse,paskarii
hacer abstener,sasichii
abstenerse,sasirii
abuela,achala mama
abuela,atun mama
abuela,mama siñura
abuelo,achala
abuelo,achala taita
abuelo,atun taita
abuelo,taita siñur
abultar,pungichii
abultar,pungii
en abundancia,junda junda
acabar,tukuchii
acabarse,tukurii
acabarse,puchukarii
acariciar,kuiai
acariciar,llambuchii
hacer acarrear,astachii
aceite,wira
acercarse,kaillaiai
acercarse,tuparii
hacer acercarse,llutachii
volverse ácido,puchkui
aclarar,punchaiai
hacer aclarar,punchaiachii
acobardarse,sambaiai
acobardarse,plujiarii
hacer acobardarse,sambaiachii
acogerse a,chaskii
acomodado,allichiska
estar acomodado,kawituraiai
acomodar,allichii
lesiones,kakui
hacer,allichichii
hacer,kakuchichii
hacer,kakuchii
hacerse,allichirii
hacerse,kawiturii
acompañar,katii
acompañar,kumpañai
acompañarse,katirii
acomplejarse,plujiarii
acordar,iuiai
acordarse,iuiarii
acordarse,pagcharii
acostar,sirichii
acostarse,siririi
acostumbrado,iachariska
acostumbrar,kustumbrai
acostumbrarse,iacharii
acostumbrarse,iukarii
acrecentar,pungii
acudir a,tandarii
achicarse,kuruiai
achicarse,kuruiarii
achiote,mandur
adelantarse,ñugparii
adelante,ñugpa
adelgazar,ñañuiachii
adelgazarse,amchiai
admirar,ujnai
admirarse,ujnarii
adónde,maimatak
adornar,tugtuchii
adornarse,tugturii
adulado,kuiaska
afeitarse,pilarii
aflojarse,plujiarii
afortunadamente,antis
afrecho,kunchu
afuera,kanchapi
agachado,kumuriska
agachar,pagchai
agacharse,kumurii
agacharse,pagcharii
agarrar,aisai
agarrar,apii
agarrarse,apirii
agarrarse,charirii
agarrarse,ugllarii
agarrarse,waiungarii
agradecer,Pai nii
agregar,iapai
agrio,puchku
agua,iaku
agua barrosa,turu iaku
agua turbia,turu iaku
aguantado,awantadu
aguantar,awantai
agüero,tapia
ahogarse,iakupi chingarii
ahora,kaiura
ahora,ña
ahorcar,sipii
ahorcarse,sipirii
ahorrar,mirachii
ahumar,chakichii
aislar,laduiachii
aislarse,laduiai
aislarse,almarii
ají,uchu
alancarse,alankarii
alargado,susuka
alargar,suniachii
alargarse,atuniai
alargarse,suniai
alargarse,susukaiai
alargarse,atuniarii
alargarse,suniarii
alborotar,killachii
alcalde,alkaldi
alcanzar,pagtai
alcanzarse,alkansarii
alcanzarse,pagtarii
alegar,piliarii
alegrar,aligriachii
alegrar,kuntintachii
alegrar,kusikuchii
alegrarse,aligriai
alegrarse,kusikui
alegrarse,aligriarii
alegrarse,alli iuiachirii
alegrarse,kuntintarii
alegre,aligri
alejarse,chasama tukui
alejarse,anchurii
algo,tinlla
alguna cosa,ima
aliento,samai
alimentarse,kuidarii
alimentarse,mikurii
alimento,mikui
alisar,llambuiachii
aliviar,askaiachii
aliviar,chaskichii
alrededor,kuchu kuchu
alrededor,muiundi
alto,awa
alto,ataridu
alucinación,muskui ukupisina
alumbrarse,punchaiai
hacer,punchaiachii
una manojada,ñibui
se,suniarii
hacerse,sikachirii
allá (lejos),chaipi
allí,chipi
amanecer,pakarii
hacer amanecer,pakarichii
hasta amanecer,pakarigta
amante,rigsi
estar amañado,iacharaiai
volverse amargo,winjaiai
amarillarse,killuiai
amarillarse,killuiarii
hacer amarillarse,killuiachii
amarillo,killu
amarrar paja,maitui
amasar,masachii
ambos,iskandi
amoldarse,iacharii
estar amontonado,tularaiai
amontonar,muntunai
amortajar,murtajai
amortiguación,shabujui
amortiguado,shabuju
amortiguado,shabujuriska
amortiguarse,shabujui
anciana,achala mama
andar,purii
hacer andar,purichii
anémico,killu
volverse anémico,killuiai
angustiar,llakichii
animarse,animarii
ano,siki
anochecer,tutaiai
anteayer,sug punchata
anteriormente,ñugpata
antes,ñug
antojado,karchu
añadir,iapai
año,wata
apaciguar,chaskichii
apagar (fuego),wañui
aparecer,kawarii
apartar,anchuchii
apartarse,anchurii
apegar,llutai
hacer apegar,llutachii
apelmazar,apiachii
apetitoso,pisiag
aplanar,pambaiachii
aplanarse,pambaiai
aplanchar,planchai
aplicado,awiska
aplicar,awii
hacer aplicar,awichii
hacerse aplicar,awichirii
apolillado,mukuska
aportar,luariai
aprender,iachaikui
apretado,sipi
aprisionado,sipigta
aquí,kaipi
arañar,aspii
hacer arañar,aspichii
arar,rastrujiai
árbol,sacha
arco iris,kuichi
arder,raurai
arder,rupai
arder(se),raurarii
ardiencia,raura
ardilla,ardita
matiwaja,armadillo
kupal,aroma
malki,arracacha
pitii,arrancar
aliui,arrastrar
allichiska,arreglado
allichii,arreglar
wanarii,arrepentirse
awapi,arriba
kungurii,arrodillar(se)
sitai,arrojar
iaku ñawi,arroyo
arus,arroz
wagllichii,arruinar
kusaska,asado
chamuskai,asar
chukari,asfixiante
chukachii,asfixiar
tiaridiru,asiento
samai arkari,asmático
amirii,asquiarse
tupulli,astilla
mishu,astuto
samaikuriska,asustado
manchachii,asustar
wataska,atado
arkai,atajar
lika,atarraya
chukachii,atascar
uia,atento
asintai,aterrizar
tangachii,atizar
upaiachii,atontar
chukarii,atorarse
munachi,atractivo
arkari,atrancado
illarii,ausentarse
justisia,autoridad
ramai,auxiliar
pisku,ave
abintai,aventar
kumuridu,avergonzado
tapuchii,averiguar
kukawi,avío
willai,avisar
abisparii,avisparse
kushkila,axila
kaina,ayer
kuti,azadón
uskachii,azuzar
llaugsa,baboso
uchullaiaska,bajado
lluspirii,bajarse
urapi,bajo
libra mati,balanza
balsa,balsa
atarichi,balso
uchullaiaska,bajado
lluspirii,bajarse
urapi,bajo
libra mati,balanza
balsa,balsa
atarichi,balso
banco típico,banku
bañar,armachii
bañarse,armai
bañarse,armarii
bararse,bararii
barrer,pichai
barriga,wigsa
niño barrigón,butijun
barro,turu
Basta,Chilla
comilón,sambungiru
batea típica,batia
bebé,wawa
beber,upiai
bejuco,waska
bendecir,bindisai
hacer bendecir,bindisachii
besar,muchai
besarse,mucharii
beso,muchai
bien apretado,sipigta
bien amontonado,tulaska
bien presentado,parisidu
hacer bien,bin rurai
billete,billiti
blanco,lanku
blanco,iura
blando,apia
blando,apiaska
blanquearse,iuraiai
bobo,upa
boca,simi
bocio,kutu
bodoquera,budukira
boje,iura sungu
bolsa,jigra
borde,pata
volverse bosque,sachukuiai
hacer botar,sitachii
boxear,puñitianakui
boxearse,puñutiarii
bramar,ramai
bramarse,ramarii
ponerse bravo,rabiarii
braza,nina
hacerse braza,ninaiai
brazo,razu
brillar,punchaiai
hacer brillar,punchaiachii
hacer brincar,chungai
brindar,kaiajuachii
brindar mutuamente,upiachirii
brotado,chawaiaska
brotar,nasirii
brujear,dañui
brujear,samai
ser bueno,alli kai
buey,wagra
buitre,kurikingi
burlarse,unarii
buscar,maskai
hacer buscar,maskachii
buscarse,maskarii
cabalgar,changalai
cabalgarse,changalarii
cabecear,singui
cabello,agcha
caber,pagtai
hacer caber,pagtachii
cabeza,uma
cabuya,chawar
cacique,iaia
cacho,bututu
caer,urmai
caer (derrumbe),lluspii
caer hielo,ilui
caer gotas,suturii
caerse,urmarii
dar calambre,angukuna timplarii
calavera,uma tullu
dejar calentar,kunuiachii
calentarse,rupaiai
calentarse,kusarii
calentura,rupai
calor,rupai
sentir calor,kunui
calumniar,juchachii
calzar,churachii
callada(mente),upalla
quedar callado,disimularii
callar,upallachii
callarse,upallai
callarse,upallarii
calle,kalli
cambiar,trukai
caminar,purii
hacer caminar,purichii
camino,ñambi
canalete,walmu
canasta tejida,saparu
candela,nina
hacer candela,ninaiachii
cangrejo,kangariju
muy cansado,samba
hacer cansar,sambaiachii
caña,wiru
capar,kapai
caracol,churu
carbón encendido,nina kilimsa
cardar (lana),ñagchachii
carecer de,pisii
carne,aicha
carretera,ñambi
casa,wasi
mujer casada,kusaiug
casamiento,kasarai
casi,ñalla
casita pequeña,tambu
hacer castigar,asutichii
castrar,kapai
cavidad,sumbu
hacer cavidad,sumbuiachii
cazar venado,tarukiai
cazar chuntaruku,chuntarukiai
cazuela,kallana
cedazo,susunga
ceniza,uchpa
4 centavos,kuartillu
centro,chaugpi
cepo,kabildu
cerbatana,budukira
cerca de,kailla
cercar,kinchai
cerco,kincha
cerdo,kuchi
cerdo montaraz,sainu
cerebro,tutañu
hacer ceremonias,takichii
efectuarse ceremonias,takichirii
cernidor,susunga
cernir,susui
hacer cernir,susuchii
cernirse,susurii
cerrado,wichkaska
cerrar,wichkai
cerrarse,wichkarii
cicatrizar,aichaiachii
cierto,sutipa
cigarra,chapuli
cinco,pichka
cincuenta,pichka chunga
cincuenta centavos,fuirti
cinta delgada,kari chumbi
ciudad,atun puiblu
claridad,puncha
claro,punchalla
clase,kasta
cobarde,chucha
cobija,katanga
estar cobijado,kataraiai
cobijar,katachii
cobijarse,katai
cocido,ianuska
cocinado,ianuska
cocinar,ianui
hacer cocinar,ianuchii
cocinar bien,apiai
cocinarse,ianurii
cocoyo,nina kuru
cochino,mapa
coger,aisai
cogote,kuguti
col,iuiu
cola,chupa
colaborar mutuamente,ramarii
colada,api
colador,susunga
colgar,warkui
hacer colgar,warkuchii
colgarse,warkurii
colibrí,kindi
estar colocado,churaraiai
colocar baras,chagllai
color,rigcha
colorado,ianuska
collar,walka
ponerse collar,walkarii
comadreja,chukuri
comadrona,kakug (warmi)
comelón,galgu
comenzar,kallarii
comezón,sigsii
comida,mikui
comino,mangas
como,kuinta
cómo,imasatak
¿cómo amaneció?,Pakaripuangi
dejar compartir,awichirii
compartir carne,aichirii
intensamente completo,diltudu
comprar,randii
con qué,imawantak
concavidad,kingu
conga,rigsi
conocer,rigsii
hacer conocer,rigsichii
que conoce,rigsi
conocido,rigsidu
hacerse consciente,abisparii
conservar,wakachii
contar,willai
cuentos,parlai
un “cacho”,llullarii
contentar,kuntintachii
contentarse,kuntintarii
contento,kuntintu
contestar,ainii
dar,aisai
contribución,rama
contribuir,ramai
convencer,krichii
convenir,animarii
conversar,parlai
convidado,kunbidaska
convidar,kunbidai
convidarse,kunbidarii
convincente,krichig
convivir con,kawituraiai
coqueto,pingari
corajudo,muruchu sungu
corazón,sungu
corazón (dedo),chaugpi didu
corona,llaugtu
corral,kincha
correa,siñidur
correctamente,juisiu
correr,kalpai
corromper,wagllichii
cortado,kuchuska
cortar,kuchui
cortar,lisiachii
cortar (ramas),susuchii
cortarse,kuchurii
cortarse,lisiarii
corte,tarka
cortico,muchilingu
corto,umutu
cosecha,pallai
coser,sirai
coserse,sirarii
coto,kutu
crecer,susukaiai
crecer,wiñai
crecido,wiñaska
crespo,chirapa
criada,wawa
criado moho,mujusiaska
criar,wiñachii
criar,wamnai
criar,wiñai
criar moho,mujusiai
criarse,wiñarii
crin,agcha
criticón,unadur
cruzado,kingrai
cuaderno,iachaikudiru panga
cual,mai
cual,maikan
cualquier,maikanpas
cualquier,pipas
cuándo,imauratak
cuanto(s),masa
cuanto(s),machka
cuánto(s),masatak
cuarenta,chusku chunga
cuatro,chusku
cuatro centavos,kuartillu
cuatrocientos,chusku pasag
cubierto,ugllariska
cubrir,maitui
cubrir,pakachii
cubrirse,katai
cubrirse,katarii
cubrirse,kilparii
cubrirse,pakakurii
cucarrón,isma muru
cuchillo,kuchillu
cuello,kunga
cuento,parlu
cuento chistoso,urdimal parlu
cuerda,waska
cuerno,kachu
cuero (animal),kara
cuesta,saia
cuidar,charii
cuidarse,kuidarii
curación,ambii
curandero,ambig
curandero,iacha
curandero,sinchi
curar,aliachii
curar,allliachii
curar,ambii
curarse,aliai
curarse,alliarii
curarse,ambirii
curí,kui
curí,shan ita
curisito,kuitum
curuba,purupuru
kingu,curva
chaglla,chacla
baita,chalina
chamuskai,chamuscar
chaparu,chaparral
walka,chaquira
kucha,charco (profundo)
aswa,chicha
chapuli,chicharra
chigtaska,chiltado
chigtai,chiltar
uchullatum,chiquitico
wawa,chiquito
kuitinsa muiu,chirilla
wanamna,chirimoyo
chiltiai,chismear
chugllu,choclo
chunta,chonta
tambu,choza
wingu,chueco
chundur,chundur
kindi,chupaflor
tugsii,chuzar
sacha wagra,danta
wagllii,dañar
piñachirii,debatir con
sambaiai,debilitarse
nii,decir
didu,dedo
ismai,defecar
ririi,deladearse
willarii,delatar
amchishitu,delgadito
unaiaska,demorado
unaiai,demorar
ukupi,dentro de
ichai,derramar
iakuiachii,derretir
urmachii,derribar
tunichii,derrumbar (algo)
dirumbu,derrumbe
mal juisiuiachii,desacreditar
paskaska,desatado
paskai,desatar
wagllichii,desbaratar
samai,descansar
uraikui,descender
awaiarii,descobijarse
butjii,descomponer
diskuintai,descontar
chunchullai,descuartizar
shachii,descubrir
chimanda,desde allí
munai,desear
libriai,desembarazarse
bandiriai,desfilar
bushmi,desgranado
iskui,desgranar
almaska,deshojado
almai,deshojar
mullu,desigual
mulluiaska,desigualado
iakuiachii,desleír
ansias,desmayo
ñutuchii,desmenuzar
dismuntaska,desmontado
llatanai,desnudar
llatan,desnudo
lugariachii,desocupar
kichui,despojar
unai tukui,despreciado
unai,despreciar
pitii,desprender
kungaska,despreocupado
randichii,desquitarse
llatanai,destapar
chunchullai,destripar
wagllichii,destruir
pitii,desunir
llatanarii,desvestirse
puncha,día
kicha,diarrea
kiru,diente
chunga,diez
sug rigcha,diferente
animas,difunto
iakuiachii,diluir
ñutu ñutu,diminutamente
kulki,dinero
palabra puchukai,discordias
piliarii,discutir
rabiachirii,disgustarse
disimularii,disimular
kiwii,dislocar
uchullaiai,disminuido
pisiai,disminuirse
disolver,chuiaiachii
se disuelve,chuiaiai
distanciado,karu karu
distanciado,karulla
distante,karu
distraer,kungachii
distraer,unaiachii
distraer,pandachii
distribuir,rasiunai
se distribuye,rasiunarii
dividir,chaugpii
se divide,bandarii
se divide,chaugpirii
divulga secretos,muruchu simi
doblar,patarii
doblar hilos,kaugpui
doblar hilos,kaugchuchii
doblar hilos,kaugpuchii
doblar ropa,patarichii
se dobla,kaugpurii
se dobla,pataririi
doler,nanai
hacerse dolor,nanachirii
doler mucho,chinichii
dolor mental,llakii
causar dolor,nanachii
tener dolor,llakii
doloroso,nana
domesticado,wamnaska
domingo,warda puncha
donar,karai
donar,largai
donde,maipi
a donde,maima
por donde,maita
donde,maipitak
a donde,maimatak
por donde,maitatak
dormilón,puñu siki
dormir,puñui
se duerme,puñurii
hacer dormir,puñuchii
dos,iskai
los dos,iskandi
a dos,iskaima
dos veces,paris
dragón,amarun
dulce,miski
un dulce,dusi
volverse dulce,miskiai
duro,sinchi
duro,angudu
muy duro,muruchu
eco,urku
echar,tallii
echar humo,kusnichii
se echa,tallirii
él,pai
elevar,awaiachii
se eleva,awaiai
ella,pai
embarazada,wigsawa ungug
sin embargo,chasa kagpipas
embarrado,llunchi
empacado,llunchiska
embarrar,llunchii
se embarrar,turuiai
se embarrar,llunchirii
embellecer,sumaiachii
se embellece,sumaiai
embobar,upaiachii
se emboba,tuntiadu tukui
se emboba,upaiai
se emboba,upaiarii
embocar,amullii
emborrachar,machachii
se emborracha,machai
embrujada,ishnai (tukuska)
empacado,wagllaska
empacar comida,wagllai
empajar,maitui
empalagarse,amirii
empalidecerse,irkiai
empapado,sagsariska
empeorarse,grabarii
empequeñecer,uchullaiachii
empezar,kallarii
empujar,tangai
se empuja,tangarii
encargar,mingachii
encargar,mingai
se encarga,mingarii
enceguecerse,ñawi amsaiai
encender,sindichii
encender,sindii
se enciende,sindirii
encendido,sindiska
encerrado,wichkaska
se encierra,wichkarii
encía,bungua
encima,awama
encima de,awapi
encinta,chichu
estar encinta,wawa aparii
enclenque,bandari
enfermarse,ungurii
enfermedad,ungui
enfermo,ungug
enfermo,dipurdundi
siempre enfermo,ungu siki
estar enfermo,ungui
encontrar,tarii
encorvado,wasa punta
encorvado,kumuriska
se encorva,kumurii
encubar,kamachii
encubar,ugllachii
enderezar,dirichai
se endereza,diricharii
endeudado,dibi
endeudarse,alkansarii
endeudarse,dibirii
endurar,tisuiai
endurecerse,angiai
endurecerse,muruchuiai
endurecerse,sinchiai
endurecerse,tisuiai
dejar endurecer,sarasuiachii
dejar endurecer,sinchiachii
tener enemistad,kuntrai
enfadado,kunu kunu
enfermedad,ungui
enfermo,ungug
enfermo,dipurdundi
siempre enfermo,ungu siki
estar enfermo,ungui
encontrar,tarii
encorvado,wasa punta
encorvado,kumuriska
se encorva,kumurii
encubar,kamachii
encubar,ugllachii
enderezar,dirichai
se endereza,diricharii
endeudado,dibi
endeudarse,alkansarii
endeudarse,dibirii
endurar,tisuiai
endurecerse,angiai
endurecerse,muruchuiai
endurecerse,sinchiai
endurecerse,tisuiai
dejar endurecer,sarasuiachii
dejar endurecer,sinchiachii
tener enemistad,kuntrai
enfadado,kunu kunu
enfermarse,ngurii
enfermedad,ngui
encinta,chichu
estar encinta,wawa aparii
enclenque,bandari
enfermarse,ungurii
enfermedad,ungui
enfermo,ungug
enfermo,dipurdundi
siempre enfermo,ungu siki
estar enfermo,ungui
encontrar,tarii
encorvado,wasa punta
encorvado,kumuriska
se encorva,kumurii
encubar,kamachii
encubar,ugllachii
enderezar,dirichai
se endereza,diricharii
endeudado,dibi
endeudarse,alkansarii
endeudarse,dibirii
endurar,tisuiai
endurecerse,angiai
endurecerse,muruchuiai
endurecerse,sinchiai
endurecerse,tisuiai
dejar endurecer,sarasuiachii
dejar endurecer,sinchiachii
tener enemistad,kuntrai
enfadado,kunu kunu
espeso,sangu
volverse espeso,sanguiai
hacer espeso,sanguiachii
espiar,chapai
espinazo,wasa
esposa,warmi
su esposa,warmindi
esquelético,chakiska
esquina,kuchu
está,tia
